Number Of Speakers,Video Input(s),Maximum Contrast Ratio (Dynamic),Language Options,Headphone Jack,Video Output(s),Surround Sound Supported,RF Antenna Input,Smart Capable,USB Port,Media Card Slot,3D-Ready,PC Input,Viewing Modes,Sound Leveler,Mount Type,DVD Player Included,Product Height (without stand),S-Video Inputs,USB Input,Instant Content Supported,Maximum Resolution,Screen Size,On-Screen Display Languages,Product Depth (with stand),Video Outputs,Sleep Timer,3D Technology,Battery Type,DVI Inputs,Number Of Composite Video Inputs,Brightness,Digital Tuner,Power Consumption (watts) Power On,Product Depth Without Stand,Closed Captioning,Digital Comb Filter,Product Weight With Stand,Specific Manufacturer Technologies,Battery Size,Product Height With Stand,Product Height Without Stand,Composite Inputs,Product Depth With Stand,Power Consumption (watts) Stand-by,Estimated Yearly Electricity Use (kWh),Instant Content,VESA Wall Mount Standard,TV/DVD Combo,Minimum Contrast Ratio (Dynamic),Estimated Annual Operating Cost,Component Video Inputs,Horizontal Viewing Angle,Product Weight Without Stand,Number Of HDMI Inputs,Alarm Timer,Number Of HDMI Outputs,Screen Refresh Rate,Batteries Included,TV Type,Screen Size (Measured Diagonally),Secure Digital Memory Card Slot,Speakers,Resolution (Native),Vertical Resolution,Anti-Glare Screen Coating,V-Chip,Refresh Rate,Watts/Channel,PC Inputs,Curved Screen,Resolution,DLNA Certified,Media Card Compatibility,Dynamic Contrast Ratio,Local Dimming,Estimated Annual Electricity Use,Built-In Player,Cable(s) Included,Speaker Output,Input(s),HDMI Inputs,Number Of Analog Audio Outputs,Number Of USB Port(s),Network Compatibility,Maximum Contrast Ratio (Native),A/V Outputs,Color Category,ENERGY STAR Certified,Number Of Auxiliary Inputs,Display Type,Aspect Ratio,Speaker Output Power,Indoor Or Outdoor Use,Audio Outputs,Widescreen,Language(s) Displayed,DND Omega Publish,Simulated Surround,EPEAT Qualified,Mount Bracket/VESA Pattern,Remote Control Type,Estimated Yearly Operating Cost,Volume Leveler,pricematch,Ethernet Port,DLNA,Screen Size Class,EPEAT Level,Product Depth (without stand),Number Of DVI Inputs,Wall Mountable,Headphone Jacks,Number Of Digital Optical Audio Outputs,Product Height (with stand),Weather Resistant,Channel Labeling,Number Of Component Video Inputs,Speaker Location,Integrated Camera,Vertical Viewing Angle
2,Component video|Composite video|HDMI,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hulu Plus|Netflix|Skype|YouTube,1080 x 1920,49.5 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,N/A,N/A,2.25 inches,N/A,N/A,32.4 pounds,N/A,N/A,28 inches,26 inches,N/A,9.75 inches,N/A,N/A,N/A,400mm x 400mm,No,N/A,9 United States dollars,N/A,N/A,31.5 pounds,3,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,81 kilowatt hours,N/A,N/A,20 watts,N/A,N/A,1,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Magic,N/A,N/A,N/A,N/A,N/A,50 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,"21-7/8""",N/A,Yes,N/A,1920 x 1080,N/A,N/A,"8-9/10""",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,114.79,"Netflix, YouTube, Hulu Plus, Amazon, MGO",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,60Hz,N/A,LED,"40""",N/A,N/A,N/A,1080p,N/A,Yes,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,16:09,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,200mm x 200mm,Standard,$14,N/A,yes,No,N/A,"40""",N/A,"3-3/8""",N/A,N/A,N/A,N/A,"23-7/8""",N/A,N/A,N/A,N/A,N/A,N/A
N/A,Component video|Composite video|DVI|HDMI,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1080 x 1920,42 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,240 candela per square meter,N/A,N/A,2.5 inches,N/A,N/A,19.8 pounds,N/A,N/A,23.38 inches,22.25 inches,N/A,9.25 inches,N/A,N/A,N/A,200mm x 200mm,N/A,4000000,14 United States dollars,N/A,N/A,18.7 pounds,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,127 kilowatt hours,N/A,N/A,20 watts,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,English|French|Spanish,N/A,N/A,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,42 inches,N/A,N/A,1,N/A,N/A,1,N/A,N/A,Yes,1,N/A,N/A,N/A
2,HDMI,N/A,N/A,N/A,N/A,Dolby Digital,Yes,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Netflix,1920 x 1080,59.8 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,N/A,N/A,2.7 inches,N/A,N/A,78.7 pounds,N/A,N/A,34.7 inches,30 inches,N/A,13.4 inches,N/A,N/A,N/A,400mm x 400mm,N/A,N/A,31 United States dollars,N/A,N/A,72.7 pounds,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,600Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,278 kilowatt hours,N/A,N/A,20 watts,N/A,N/A,N/A,3,Built-in Wi-Fi,N/A,N/A,Black,No,N/A,Plasma,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,60 inches,N/A,N/A,N/A,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video,N/A,N/A,No,N/A,N/A,Yes,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESPN ScoreCenter,1366 x 768,23.63 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,Yes,N/A,1.9 inches,N/A,N/A,9 pounds,N/A,N/A,15.13 inches,13.75 inches,N/A,6.5 inches,N/A,N/A,N/A,75mm x 75mm,No,N/A,4 United States dollars,N/A,N/A,8.6 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,720p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,40 kilowatt hours,N/A,N/A,6 watts,N/A,N/A,1,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Universal,N/A,N/A,yes,N/A,N/A,24 inches,N/A,N/A,0,Yes,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,No,N/A,N/A,Yes,Yes,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CinemaNow|Facebook|Hulu Plus|Netflix|Pandora|Rhapsody|YouTube,1080 x 1920,69.5 inches,N/A,N/A,N/A,Yes,Yes,N/A,N/A,2,N/A,Yes,N/A,2.33 inches,N/A,N/A,106.9 pounds,N/A,N/A,38.55 inches,36.78 inches,N/A,15.17 inches,N/A,N/A,N/A,400mm x 400mm,Yes,N/A,20 United States dollars,N/A,N/A,93.7 pounds,4,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,240Hz,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,178 kilowatt hours,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,Silver,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Universal,N/A,N/A,yes,N/A,N/A,70 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,HDMI|Component video|Composite video,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1920 x 1080,55 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,450 candela per square meter,N/A,N/A,3.25 inches,N/A,N/A,93 pounds,N/A,N/A,33.2 inches,29.16 inches,N/A,4.25 inches,N/A,N/A,N/A,400mm x 400mm,N/A,N/A,33.47 United States dollars,N/A,N/A,85 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,304 kilowatt hours,N/A,N/A,20 watts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,White,No,N/A,LED,N/A,N/A,Outdoor,N/A,N/A,N/A,N/A,Yes,No,N/A,Standard,N/A,N/A,N/A,N/A,N/A,55 inches,N/A,N/A,1,N/A,N/A,N/A,N/A,Yes,N/A,2,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1080 x 1920,39.5 inches,N/A,N/A,N/A,N/A,Yes,N/A,N/A,1,N/A,Yes,N/A,3.13 inches,N/A,N/A,17.2 pounds,N/A,N/A,21.5 inches,20.25 inches,N/A,8.5 inches,N/A,N/A,N/A,200mm x 200mm,Yes,N/A,12 United States dollars,N/A,N/A,16.3 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,109 kilowatt hours,N/A,USB,N/A,N/A,N/A,1,1,N/A,N/A,N/A,Multi,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Standard,N/A,N/A,N/A,N/A,N/A,40 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESPN ScoreCenter|Facebook|HBO GO|Hulu Plus|Netflix|Pandora|Skype|YouTube,1080 x 1920,40 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,N/A,Yes,N/A,2.5 inches,N/A,N/A,19.6 pounds,N/A,N/A,23.88 inches,21.13 inches,N/A,10.5 inches,N/A,N/A,N/A,200mm x 200mm,No,N/A,8 United States dollars,N/A,N/A,17.2 pounds,4,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,75 kilowatt hours,N/A,HDMI,10 watts,N/A,N/A,1,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Universal,N/A,N/A,yes,N/A,N/A,40 inches,Silver,N/A,0,Yes,N/A,1,N/A,N/A,Yes,1,N/A,N/A,N/A
N/A,HDMI,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1920 x 1080,47 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,700 candela per square meter,N/A,N/A,6.51 inches,N/A,N/A,N/A,N/A,N/A,N/A,27.16 inches,N/A,N/A,N/A,N/A,N/A,600mm x 400mm,N/A,N/A,60 United States dollars,N/A,N/A,85 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,N/A,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,548 kilowatt hours,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Silver,No,N/A,LED,N/A,N/A,Outdoor,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,47 inches,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A
N/A,Component video,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Facebook,1080 x 1920,38.5 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,N/A,N/A,2.5 inches,N/A,N/A,13.7 pounds,N/A,N/A,22 inches,20.34 inches,N/A,7.46 inches,N/A,N/A,N/A,100mm x 100mm,No,N/A,11 United States dollars,N/A,N/A,12.6 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,97 kilowatt hours,N/A,N/A,20 watts,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,39 inches,N/A,N/A,0,Yes,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,Component video|Composite video|DVI|HDMI,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1080 x 1920,31.5 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,180 candela per square meter,N/A,N/A,2.5 inches,N/A,N/A,11.3 pounds,N/A,N/A,18.38 inches,17.13 inches,N/A,6.5 inches,N/A,N/A,N/A,100mm x 100mm,N/A,2000000,9 United States dollars,N/A,N/A,10.6 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,81 kilowatt hours,N/A,N/A,10 watts,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,English|French|Spanish,N/A,N/A,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,32 inches,N/A,N/A,1,N/A,N/A,1,N/A,N/A,Yes,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1365 x 768,31.5 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,180 candela per square meter,Yes,N/A,3.63 inches,N/A,N/A,11.72 pounds,N/A,N/A,19.75 inches,17.5 inches,N/A,8.25 inches,N/A,N/A,N/A,200mm x 100mm,N/A,N/A,8.91 United States dollars,N/A,N/A,11 pounds,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,720p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,81 kilowatt hours,N/A,AC power,16 watts,N/A,N/A,1,0,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Standard,N/A,N/A,N/A,N/A,N/A,32 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESPN ScoreCenter|Facebook|HBO GO|Hulu Plus|Netflix|Pandora|Skype|YouTube,1080 x 1920,54.63 inches,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,N/A,N/A,N/A,3.5 inches,N/A,N/A,N/A,N/A,N/A,29.9 inches,28.13 inches,N/A,9.38 inches,N/A,N/A,N/A,400mm x 400mm,N/A,N/A,13 United States dollars,N/A,N/A,38.4 pounds,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,240Hz,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,115 kilowatt hours,N/A,USB,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,Silver,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Smart,N/A,N/A,yes,N/A,N/A,55 inches,Silver,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,"15-3/8""",N/A,Yes,N/A,N/A,N/A,N/A,"7-1/2""",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,52,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,60Hz,N/A,LED Flat-Panel,"28-1/2""",N/A,N/A,N/A,720p,N/A,Yes,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,100mm x 100mm,Universal,$6,N/A,yes,No,N/A,"29""",N/A,"1-9/10""",N/A,N/A,N/A,N/A,"18""",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,"33-1/2""",N/A,Yes,N/A,1920 x 1080,N/A,N/A,"11-1/2""",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,191,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,120Hz,N/A,LED,"64-1/2""",N/A,2,N/A,1080p,N/A,Yes,N/A,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,20W,N/A,N/A,N/A,N/A,Yes,N/A,No,400mm x 400mm,N/A,$21,N/A,yes,No,N/A,"65""",N/A,"2-7/8""",N/A,N/A,Yes,N/A,"35-1/2""",N/A,N/A,N/A,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,N/A,USB,N/A,N/A,No,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1366 x 768,31.5 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,Yes,N/A,3.75 inches,N/A,N/A,13.2 pounds,N/A,N/A,19.63 inches,17.5 inches,N/A,7.5 inches,N/A,N/A,N/A,200mm x 200mm,No,N/A,6 United States dollars,N/A,N/A,11.9 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,720p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,52 kilowatt hours,N/A,SMART,10 watts,N/A,N/A,1,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Standard,N/A,N/A,yes,N/A,N/A,32 inches,N/A,N/A,0,Yes,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video,1400,N/A,Yes,Not Applicable,N/A,N/A,No,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1920 x 1080,32 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,400 candela per square meter,Yes,N/A,6.29 inches,N/A,N/A,45 pounds,N/A,N/A,22.12 inches,22.12 inches,N/A,6.29 inches,N/A,N/A,N/A,100mm x 100mm,No,N/A,13 United States dollars,N/A,N/A,45 pounds,2,Yes,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,Yes,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,117 kilowatt hours,N/A,Not Applicable,20 watts,N/A,N/A,1,0,N/A,N/A,N/A,Silver,No,N/A,LED,N/A,N/A,Outdoor,N/A,N/A,N/A,N/A,N/A,No,N/A,Standard,N/A,N/A,yes,N/A,N/A,32 inches,N/A,N/A,1,Yes,N/A,0,N/A,Yes,Yes,2,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESPN ScoreCenter|Facebook|HBO GO|Hulu Plus|Netflix|Pandora|Skype|YouTube,3840 x 2160,60 inches,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,N/A,Yes,N/A,1.4 inches,N/A,N/A,N/A,N/A,N/A,N/A,30.9 inches,N/A,N/A,N/A,N/A,N/A,400mm x 400mm,No,N/A,23 United States dollars,N/A,N/A,49.2 pounds,4,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,210 kilowatt hours,N/A,SMART,N/A,N/A,N/A,1,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Smart,N/A,N/A,yes,N/A,N/A,60 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|DVI|HDMI,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1080 x 1920,31.5 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,N/A,Yes,N/A,2.75 inches,N/A,N/A,17.9 pounds,N/A,N/A,19.75 inches,17.5 inches,N/A,7.13 inches,N/A,N/A,N/A,200mm x 100mm,No,N/A,6 United States dollars,N/A,N/A,16 pounds,3,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,720p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,55.2 kilowatt hours,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Standard,N/A,N/A,N/A,N/A,N/A,32 inches,N/A,N/A,1,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Composite video|Component video|HDMI,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESPN ScoreCenter|Facebook|HBO GO|Hulu Plus|Netflix|Pandora|Skype|YouTube,3840 x 2160,78 inches,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,N/A,Yes,N/A,5.75 inches,N/A,N/A,115.7 pounds,N/A,N/A,42.13 inches,40.38 inches,N/A,14.63 inches,N/A,N/A,N/A,600mm x 400mm,No,N/A,35 United States dollars,N/A,N/A,101.2 pounds,4,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,120Hz,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,319 kilowatt hours,N/A,SMART,N/A,N/A,N/A,0,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Smart,N/A,N/A,yes,N/A,N/A,78 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,N/A,N/A,"English, French, Spanish",N/A,N/A,N/A,1,N/A,No,No,N/A,N/A,N/A,Yes,N/A,N/A,"39"" with speaker bar (36"" without)",N/A,No,N/A,1920 x 1080,N/A,N/A,"4-1/2""",2,Yes,N/A,N/A,1,N/A,450 cd/m&#178;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,473,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,60Hz,N/A,LED,"65""",N/A,2,N/A,1080p,N/A,Yes,N/A,N/A,1,N/A,N/A,N/A,N/A,4000:1,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2,N/A,No,N/A,N/A,16:09,20W,N/A,N/A,N/A,N/A,Yes,Yes,No,600mm x 400mm,Standard,$52,N/A,yes,No,N/A,"65""",N/A,"3-1/2""",N/A,N/A,Yes,N/A,"40"" (with speaker bar)",N/A,N/A,N/A,Rear,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Netflix|Pandora|YouTube,1024 x 1080,69.5 inches,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,N/A,Yes,N/A,3.75 inches,N/A,N/A,98.3 pounds,N/A,N/A,38.25 inches,36.25 inches,N/A,14.63 inches,N/A,N/A,N/A,N/A,Yes,N/A,15 United States dollars,N/A,N/A,95.9 pounds,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,136 kilowatt hours,N/A,AC power,N/A,N/A,N/A,0,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Standard,N/A,N/A,yes,N/A,N/A,70 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,Component video|Composite video|DVI|HDMI,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1366 x 768,23.63 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,N/A,N/A,2.5 inches,N/A,N/A,7.2 pounds,N/A,N/A,22.13 inches,13 inches,N/A,7 inches,N/A,N/A,N/A,75mm x 75mm,No,N/A,5 United States dollars,N/A,N/A,7.2 pounds,2,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,720p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,46 kilowatt hours,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Standard,N/A,N/A,N/A,N/A,N/A,24 inches,N/A,N/A,1,Yes,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A
