Dryer Capacity,Depth with Door Open (in.),Dryer Depth With Door Open,Wattage,Pre-Wash Detergent Dispenser,Bleach Dispenser,High Efficiency,Height With Door Open,Air Fluff,Door Opening Size,Power Source,Soak Cycle,Stackable,Compact Design,Fill/Drain Hoses Included,Depth With Door Open,Extended Tumble Cycle,Finger Faucet,Allergy Cycle,Time-Remaining Display,Wrinkle-Free Cycle,Cycle Descriptions,Voltage,Stacking Kit Model Number (sold separately),Steam Function,Auto Dry Cycle,Damp Dry,Washer Interior Light,ENERGY STAR Certified,Wheels/Casters,Temperature Options,Color Category,Pre-Wash Dispenser,High-Efficiency Design,Quiet Dry Cycle,Noise Reduction,CSA Listed,Extra-Dry Cycle,Maximum Spin Speed,Delayed Start,Delicates Cycle,Washer Tub/Drum Material,Heavy-Duty Cycle,Sanitation/Allergy Cycle,Washer Load Type,Delay Start,Integrated Water Heater,Cool-Down Cycle,Capacity (cu. ft.),Washer Capacity,ETL Listed,Drying Rack,Tub/Drum Material,Reversible Door Hinge,Number Of Wash Temperatures,Dryer Drum Material,End-Of-Cycle Signal,Hand-Wash Cycle,Quick Wash Cycle,Number Of Drying Cycles,Load Access,Fabric Softner Dispenser,Steam,Exhaust Vent Location,Internal Water Heater,Smart_Phone_Compatible,Number Of Units,Agitator Type,Matching Dryer Available,Number Of Drying Temperatures,Pedestal Model Number (sold separately),Washer Window,Pedestal Available,Pedestal Model Compatibility,Drum and Interior Finish,NSF Listed,Window,Number Of Wash Speeds,ANSI Certified,Second Rinse,Dryer Interior Light,CEE Qualified,Delicate Cycle,Number Of Rinse Temperatures,Permanent Press Cycle,Number of Wash Cycles,Hand-Washable Cycle,Height To Control Panel Top,Estimated Annual Operating Cost,Fabric Softener Dispenser,Out-Of-Balance Detection,Matching Dryer Model Number,Self-Cleaning Filter,Washer/Dryer Combo Type,Height with Lid Open (in.),Control Location,Estimated Yearly Electricity Use (kWh),Capacity,Estimated Yearly Operating Cost,Amperage,Number Of Wash Cycles,Extra-Rinse Cycle,Child Lock,Sensor Dry,Sanitation Cycle,Power Cord Included,Vibration Reduction,Knits Cycle,Additional Accessories Included,Pre-Wash Cycle,Cotton Cycle,pricematch,Interior Light(s),Quick-Wash Cycle,Automatic Temperature Control,Lint Filter,Smart Phone Compatible,UL Listed,Dryer Window,Water Efficiency,Door Style,Number Of Rinse Cycles,Wool Cycle,Control Type,Number Of Temperature Settings,Estimated Annual Electricity Use,ADA Compliant
N/A,N/A,N/A,N/A,No,Yes,N/A,51 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,White,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,Top load,No,N/A,N/A,N/A,N/A,N/A,N/A,Plastic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Dual-action,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7 cubic feet,N/A,N/A,8,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,No,yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analog,N/A,N/A,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,52.75 inches,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,Gray,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Front load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.5 cubic feet,N/A,N/A,12,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,No,yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Digital,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120 volts,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,White,N/A,N/A,N/A,N/A,N/A,N/A,680 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Top load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.6 cubic feet,N/A,20 amperes,8,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,Yes,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Electronic,3,N/A,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,54 inches,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,Silver,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Top load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,18 United States dollars,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8 cubic feet,N/A,N/A,11,N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,yes,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Digital,5,165 kilowatt hours,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,57.5 inches,N/A,N/A,N/A,Yes,No,No,No,N/A,N/A,N/A,No,Yes,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,Yes,N/A,Yes,Yes,N/A,800 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Top load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,5,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,None,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,1,Yes,N/A,Yes,N/A,17 United States dollars,Yes,N/A,WA400PJHDWR/AA,N/A,N/A,N/A,N/A,N/A,4 cubic feet,N/A,15 amperes,9,Yes,Yes,N/A,No,No,Yes,N/A,N/A,N/A,N/A,yes,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,Electronic,5,163 kilowatt hours,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,52.75 inches,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Front load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,No,N/A,15 United States dollars,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.2 cubic feet,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,No,yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Digital,N/A,145 kilowatt hours,N/A
N/A,51,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Electric,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,"Cotton/normal, bulky/large, permanent press, delicates, hand wash/wool, speed wash, sanitary, Allergiene, tub clean",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Red,Yes,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.0 D.O.E.,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,Front-load,Yes,Yes,N/A,N/A,N/A,N/A,No agitator,N/A,N/A,N/A,N/A,N/A,N/A,Stainless-steel,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,N/A,Yes,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Front panel,130,N/A,$14 with an electric water heater; $10 with a natural gas water heater,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Electronic,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Electric,N/A,Yes,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,"Normal, heavy duty, permanent press, bedding, active wear, delicates, quick wash, rinse + spin",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,White,No,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.2 D.O.E.,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,Yes,N/A,Front-load,Yes,No,N/A,N/A,N/A,N/A,No agitator,N/A,N/A,N/A,N/A,N/A,N/A,Stainless-steel,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Front panel,95,N/A,$10 with an electric water heater; $7 with a natural gas water heater,N/A,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Digital,N/A,N/A,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,54 inches,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,Yes,N/A,Yes,Yes,N/A,800 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Top load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,None,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,1,Yes,N/A,Yes,N/A,18 United States dollars,Yes,N/A,DV45H7000GW,N/A,N/A,N/A,N/A,N/A,5 cubic feet,N/A,15 amperes,9,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A,N/A,N/A,yes,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Digital,5,169 kilowatt hours,N/A
N/A,N/A,N/A,N/A,Yes,Yes,N/A,51 inches,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,Top load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,None,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,25 United States dollars,Yes,N/A,GTWS8650DWS,N/A,N/A,N/A,N/A,N/A,5 cubic feet,N/A,N/A,16,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A,yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electronic,6,232 kilowatt hours,N/A
N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,51 inches,N/A,N/A,Yes,N/A,Yes,51 inches,N/A,N/A,Yes,N/A,N/A,N/A,120 volts,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,Yes,N/A,Yes,N/A,N/A,1300 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Front load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,No,5,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,N/A,Yes,N/A,N/A,N/A,Yes,"WDP4V, WDP4W",N/A,N/A,N/A,12,N/A,Yes,N/A,N/A,N/A,5,Yes,N/A,No,N/A,12 United States dollars,Yes,Yes,"DLGX3571V, DLG3571W",N/A,N/A,N/A,N/A,N/A,4.3 cubic feet,N/A,10 amperes,12,Yes,Yes,N/A,Yes,N/A,Yes,N/A,N/A,Yes,Yes,yes,N/A,Yes,Yes,N/A,Yes,Yes,N/A,N/A,N/A,2,N/A,Electronic,5,100 kilowatt hours,N/A
N/A,N/A,N/A,N/A,Yes,Yes,N/A,46.75 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,Silver,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,12 United States dollars,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9 cubic feet,N/A,N/A,9,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Digital,N/A,116 kilowatt hours,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,54 inches,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,Yes,N/A,Yes,Yes,N/A,1100 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Top load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,5,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,None,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,Yes,N/A,Yes,N/A,18 United States dollars,Yes,N/A,DV48H7400GW,N/A,N/A,N/A,N/A,N/A,4.8 cubic feet,N/A,15 amperes,11,Yes,Yes,N/A,No,No,Yes,Yes,N/A,N/A,N/A,yes,N/A,Yes,Yes,N/A,Yes,Yes,N/A,N/A,N/A,1,N/A,Digital,5,165 kilowatt hours,N/A
3.39 cubic feet,N/A,37 inches,200 watts,Yes,Yes,N/A,N/A,No,N/A,N/A,Yes,N/A,Yes,Yes,N/A,No,N/A,No,Yes,Yes,N/A,110 volts,N/A,No,Yes,No,No,No,N/A,N/A,White,N/A,Yes,No,No,N/A,Yes,1000 revolutions per minute,N/A,Yes,Stainless steel,Yes,N/A,Front load,Yes,No,No,N/A,1.6 cubic feet,No,No,N/A,N/A,3,Stainless steel,Yes,N/A,N/A,4,N/A,N/A,N/A,Rear,N/A,N/A,2,N/A,N/A,10,N/A,No,N/A,N/A,N/A,No,N/A,2,No,Yes,No,N/A,N/A,1,No,N/A,Yes,33.5 inches,N/A,Yes,N/A,N/A,Yes,Stacked units,N/A,N/A,N/A,N/A,N/A,15 amperes,8,Yes,Yes,No,No,Yes,No,Yes,N/A,Yes,Yes,yes,N/A,Yes,No,Yes,No,No,No,N/A,Left swing,2,N/A,Analog,N/A,N/A,No
N/A,N/A,N/A,N/A,No,Yes,N/A,52 inches,N/A,N/A,N/A,No,No,No,Yes,N/A,N/A,No,No,No,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,No,No,N/A,White,N/A,N/A,N/A,No,Yes,N/A,700 revolutions per minute,N/A,Yes,N/A,No,N/A,Top load,No,N/A,N/A,N/A,N/A,N/A,N/A,Porcelain,N/A,5,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Other,Yes,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,Yes,N/A,No,N/A,1,No,N/A,No,N/A,16 United States dollars,Yes,Yes,WGD4815EW (gas) and WED4815EW (electric),N/A,N/A,N/A,N/A,N/A,3.5 cubic feet,N/A,20 amperes,9,Yes,No,N/A,No,Yes,No,No,N/A,No,No,yes,No,No,No,N/A,No,Yes,N/A,N/A,N/A,N/A,No,Analog,5,176 kilowatt hours,No
N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Electric,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,"Normal, heavy-duty, permanent press, towels, bedding, colors/darks, infant wear, active wear, delicates/hand wash, quick wash, PureCycle, rinse and spin, spin only",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,White,No,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0 D.O.E.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Top-load,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless-steel,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,Yes,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58-1/8,N/A,165,N/A,$18 with an electric water heater; $10 with a natural gas water heater,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,51 inches,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,No,N/A,N/A,White,N/A,No,N/A,Yes,N/A,N/A,630 revolutions per minute,N/A,No,N/A,Yes,N/A,Top load,No,N/A,N/A,N/A,N/A,N/A,N/A,Plastic,N/A,3,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Dual-action,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,Yes,N/A,GTWP1800HWS,N/A,N/A,N/A,N/A,N/A,3.7 cubic feet,N/A,N/A,12,N/A,N/A,N/A,No,Yes,No,N/A,N/A,N/A,N/A,yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analog,3,N/A,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,53 inches,N/A,N/A,N/A,Yes,No,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,No,N/A,N/A,N/A,N/A,800 revolutions per minute,N/A,Yes,N/A,N/A,N/A,Top load,No,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,Dual-action,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,1,Yes,N/A,No,N/A,17 United States dollars,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6 cubic feet,N/A,15 amperes,11,Yes,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Electronic,5,159 kilowatt hours,N/A
N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,No,N/A,N/A,White,N/A,Yes,N/A,No,No,N/A,660 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Top load,No,N/A,N/A,N/A,N/A,No,N/A,Stainless steel,N/A,5,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,Single-action,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,1,Yes,N/A,No,N/A,16 United States dollars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.3 cubic feet,N/A,15 amperes,12,Yes,Yes,N/A,No,No,Yes,N/A,N/A,No,N/A,yes,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,1,No,Analog,5,300 kilowatt hours,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,51.19 inches,N/A,N/A,Yes,No,Yes,51.19 inches,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Silver,N/A,Yes,N/A,Yes,N/A,N/A,1200 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Front load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,No,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,Yes,N/A,Yes,N/A,4,Yes,N/A,No,N/A,10 United States dollars,Yes,Yes,WF42H5200AP,N/A,N/A,N/A,N/A,N/A,4.2 cubic feet,N/A,N/A,9,Yes,Yes,N/A,Yes,No,Yes,Yes,N/A,N/A,Yes,yes,Yes,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,2,N/A,Digital,4,95 kilowatt hours,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,55 inches,N/A,N/A,N/A,No,No,No,Yes,N/A,N/A,No,No,Yes,N/A,N/A,120 volts,N/A,Yes,N/A,N/A,N/A,Yes,No,N/A,White,N/A,Yes,N/A,No,Yes,N/A,850 revolutions per minute,N/A,Yes,N/A,No,N/A,Top load,Yes,N/A,N/A,N/A,N/A,No,N/A,Stainless steel,N/A,5,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,Other,Yes,N/A,N/A,N/A,No,N/A,N/A,No,No,3,No,No,N/A,No,N/A,1,No,N/A,No,37.25 inches,27 United States dollars,Yes,Yes,"WED7300DW (electric), WGD7300DW (gas)",N/A,N/A,N/A,N/A,N/A,4.8 cubic feet,N/A,15 amperes,N/A,No,No,N/A,No,Yes,Yes,No,"Drain hose with clamp, U-form, cable tie",Yes,No,yes,No,Yes,No,N/A,No,Yes,N/A,N/A,N/A,N/A,No,Electronic,5,169 kilowatt hours,No
N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,No,N/A,N/A,White,N/A,No,N/A,Yes,N/A,N/A,700 revolutions per minute,N/A,Yes,N/A,N/A,N/A,Top load,No,N/A,N/A,N/A,N/A,N/A,N/A,Porcelain,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,Dual-action,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,1,Yes,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6 cubic feet,N/A,15 amperes,11,Yes,No,N/A,No,N/A,Yes,N/A,N/A,No,N/A,yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,1,N/A,Analog,4,N/A,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,White,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.3 cubic feet,N/A,N/A,6,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electronic,N/A,N/A,N/A
N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,58.3 inches,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Gray,N/A,Yes,N/A,Yes,N/A,N/A,1300 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Front load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,No,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,N/A,Yes,N/A,Yes,N/A,5,Yes,N/A,No,N/A,11 United States dollars,Yes,Yes,WF56H9100AG,N/A,N/A,N/A,N/A,N/A,4.5 cubic feet,N/A,N/A,15,Yes,Yes,N/A,Yes,No,Yes,Yes,N/A,Yes,Yes,yes,Yes,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,2,Yes,Digital,5,100 kilowatt hours,N/A
